id,name,country,status,formed_in,active
35265,When Blood Burns,Belgium,Active,2006,2006-present
35266,When Nothing Remains,Sweden,Active,2010,2010-present
35267,When Thoughts Reside,United States,Active,2005,2005-present
35268,Where She Wept,United States,Split-up,1996,1996-2014
35269,Whiskey Funeral,United States,Active,2010,2010-present
35270,Whispering Forest,Estonia,Split-up,1995,1995-?
35271,Whispering Gallery,Netherlands,Split-up,1995,1995-2008
35272,Whiten Cinders,Mexico,Active,1996,1996-present
35273,Who Dies in Siberian Slush,Russia,Active,2003,2003-present
35274,Whore Corpse,Colombia,Active,2006,2006-present
35275,Whore of Bethlehem,United States,Active,2009,2009-present
35276,Whore Torture,United States,Active,2012,2012-present
35277,Whorebath,United States,Split-up,2011,2011-2013
35278,Whoredom,Spain,Active,2013,2013-present
35279,WhoreMastery,United States,Active,2003,2003-present
35280,Whoretopsy,Australia,Active,2011,2011-present
35281,Whorion,Finland,Active,2009,2009-present
35282,Why Angels Fall,Portugal,Active,1997,1997-? (as Te Devm)| ?-? (as The Children of Lir)| ?-present
35283,Why She Kills,Netherlands,Split-up,2006,2006-2009
35284,Wicked,Sweden,Split-up,2006,2006-2010
35285,Widow the Sea,Australia,Active,2008,2008-present
35286,Wild Demise,Mexico,On hold,2007,2007-2016
35287,Willig,Czech Republic,Active,N/A,N/A
35288,Winding,Russia,Active,2008,2008-present
35289,Windy City Slaughter,Canada,Active,2012,2012-present
35290,Wine from Tears,Russia,Active,2002,2002-present
35291,Wings of Thanatos,Australia,Active,2014,2014-present
35292,Winter Bestowed,Canada,Split-up,1997,1997-2011
35293,Winter Siege,Netherlands,Changed name,2006,2006-2010| 2010-present (as Praetor)
35294,Winter Whispers,Portugal,Split-up,1996,1996-?
35295,Winterbreed,Italy,Active,2014,2014-present
35296,Wintereve,France,Active,2013,2013-present
35297,Winterfallen,United States,Split-up,2006,2006-2010
35298,Wintermoon,Poland,Active,1996,1996-present
35299,Wintermute,Spain,Active,2000,1996-2000 (as Insania)| 2000-present
35300,Winters Dying Breath,United States,Changed name,1996,1996-? (as Course of Ruin)| ?-2007| 2007-2008 (as Inferium)| 2008 (as Forsaken Kingdom)| 2008-present (as Obsidian)
35301,Wintersfear,United States,Active,N/A,N/A
35302,Wintershadows,Poland,Split-up,1993,1992-1993 (as Happy Dead)| 1993-?
35303,Wintternal,Portugal,Active,2010,2007-2010 (as Silver Bullets)| 2010-present
35304,WirgHata,Russia,Split-up,2008,2008-2013
35305,Wisdom Gone,Canada,Split-up,N/A,N/A
35306,Wisdom Without Worship,United Kingdom,Active,2009,2009-present
35307,Wishyouweredead,Netherlands,Unknown,2003,2003-?
35308,Witch Cult,United States,Active,2012,2012-present
35309,Witchrist,New Zealand,Active,2008,2006-2008 (as Blood Conquest)| 2008-2014| 2015-present
35310,With Burning Contempt,United States,Active,2012,2012-present
35311,With Eyes Sewn Shut,United States,Active,2005,2005-present
35312,With Faith or Flames,United States,Active,2004,2004-present
35313,With Passion,United States,Split-up,2002,2002-2007
35314,With Us It Ends,United States,Unknown,2006,2006-?
35315,Withdrawn,France,Active,2004,2004-present
35316,Withered,Germany,Split-up,2009,2004-2009 (as Düsterwald)| 2009-2012
35317,Withered Beauty,Sweden,Split-up,1993,1993-?
35318,Withered Within,Finland,Active,2004,2004-present
35319,Withering Eternity,Germany,Active,2004,2004-present
35320,Withering Spring,United States,Split-up,1995,1995-?
35321,Withering Youth,United States,Changed name,2004,2004-2009| 2009-present (as Tragic Death)
35322,Witherscape,Sweden,Active,2013,2013-present
35323,Withersoul,United States,Split-up,2002,2002-?
35324,Within a Mind,United States,Active,2005,2005-present
35325,Within Our Gates,United States,Active,2009,2009-present
35326,Without a Name,Japan,Active,2006,2006-present
35327,Without Mercy,Canada,Active,2004,2004-present
35328,Without Virtue,United States,Split-up,2005,2005-2007
35329,WithoutMind,Colombia,Active,2007,2007-present
35330,Woccon,United States,Active,2011,2011-present
35331,Woebegone Obscured,Denmark,Active,2003,2003-present
35332,Wolf Baned,United States,Unknown,2005,2005-?
35333,Wolfheart,Finland,Split-up,1997,1997 (as Auroral)| 1997-?
35334,Wolfkrieg,Russia,Active,2009,2009-present
35335,Wolflord,United States,Unknown,1995,1995-?
35336,Wolfpit,Switzerland,Active,2004,2004-present
35337,Wolves Among Sheep,United States,Active,2006,2006-present
35338,Wolves and Jackals,United States,Active,2009,2009-present
35339,Womb of Decay,Turkey,Active,2010,2010-present
35340,World Downfall,Germany,Active,1998,1998-1999 (as Ante Mortem)| 1999-present
35341,Wormeaten,Colombia,Split-up,2001,2001-2007
35342,Wormed,Spain,Active,1998,1998-present
35343,Worms of Vomit,India,Active,2014,2014-present
35344,Wormwood Prophecy,United States,Split-up,2008,2008-?
35345,Worship Factory,Finland,Split-up,2000,2000-?
35346,Worship the Infinite,France,Active,2015,2015-present
35347,Wrath and Rapture,United States,Changed name,2007,2007-2012| 2012-present (as Ultraverser)
35348,Wrath and Ruin,United States,Active,2007,2007-present
35349,Wrath of Man,United States,Unknown,2004,2004-?
35350,Wrath of the Tyrant,Mexico,Active,2009,2009-2011| 2013-present
35351,Wrath of the Tyrant,United States,Split-up,2008,2008-2011
35352,Wrath Within,Spain,Active,2009,2009-present
35353,Wrenchneck,United States,Active,N/A,N/A
35354,Wretched,United States,Active,2005,2005-present
35355,Writhen,United States,Active,2003,2003-present
35356,Wrought of Obsidian,United States,Active,2008,?-2005 (as Scarline)| 2005-2008 (as Hyperion)| 2008-present
35357,Wrvth,United States,Active,2007,2007-2013 (as The Wrath of Vesuvius)| 2013-2015 (as Wrath of Vesuvius)| 2015-present
35358,Wulfshon,Argentina,Active,2004,2004-present
35359,Wydfara's Prophecy,Austria,Split-up,2005,2005-?
35360,X| Y| Z,Czech Republic,Active,2000,2000-present
35361,X-box Murder,Ukraine,Active,2006,2006-present
35362,X-Flames,Bulgaria,Split-up,2002,2002-?
35363,X-Kharon,Hungary,Split-up,2004,2004-?
35364,Xanthos,United States,Active,2006,2006-present
35365,Xector,India,Active,2005,2005 (as Spitfire)| 2005-present
35366,Xenobiotic,Australia,Active,2011,2011-present
35367,Xenocide,Canada,Split-up,2008,2008-2013
35368,Xenofanes,Sweden,Active,1993,1993-1996| 2010-present
35369,Xenos,Australia,Active,2006,2006-present
35370,Xibalba,United States,Split-up,1998,1998-?
35371,Xiom,Germany,Active,2011,1983-1987 (as Argus)| 1987-1991 (as Moshquito)| 1998-2011 (as Moshquito)| 2011-present
35372,Xipe Totec,Australia,Split-up,1994,1994-?
35373,Xipe Totec,Italy,Changed name,2008,2008-2014| 2014-present (as L'incendio)
35374,Xphyxia,United States,Split-up,1999,?-1999 (as Nazgul)| 1999-?
35375,Xplicit,Canada,Split-up,2005,2005-?
35376,Xternity,Germany,Active,2012,2012-present
35377,XthoughtstreamsX,United States,Split-up,1999,1999-?
35378,Xtreme Obsession,Singapore,Split-up,1988,1988-?
35379,Xul,United States,Active,2010,2010-2011 (as Selective Cruelty)| 2010-present
35380,XVI Eyes,Canada,Active,2007,2007-present
35381,Yakatarma,Mexico,Split-up,2000,2000-?
35382,Yarr,Germany,Active,2013,2013-present
35383,Ye Olde Relic,United States,Unknown,2006,2006-?
35384,Yesod,United States,Active,2014,2014-present
35385,Yesterdays Saints,United States,Active,2008,2008-present
35386,Yggdrasil,Germany,Split-up,2006,2006-?
35387,Yggdrasill,France,Changed name,N/A,1995-?| ?-present (as Y21)
35388,Yggdrassil,Spain,Active,2012,2012-present
35389,Ygodeh,Latvia,Active,2009,2009-present
35390,Ymotek,Spain,Active,2006,2006-present
35391,Yoda's Eye,United States,Split-up,2002,2002-2008| 2014-?
35392,Your Chance to Die,United States,Active,2007,2007-present
35393,Ypotrill,Italy,Active,N/A,N/A
35394,Ysengrin,France,Active,2005,2005-present
35395,Yuck,France,Split-up,1999,1999-2014
35396,Yun-Fat,Brazil,Active,2004,2004-present
35397,Zajal,Egypt,Active,2009,2009-present
35398,Zan,United States,Active,2000,2000-present
35399,Zarkozooh,Russia,Active,2005,2005-present
35400,Zatokrev,Switzerland,Active,2002,2002-present
35401,Zerber,Russia,Active,2002,2002-present
35402,Zero Gravity,India,Active,2012,2012-present
35403,Zero System,United States,Changed name,2008,2008-2010| 2010-present (as Vanisher)
35404,ZeroCrowd,Finland,Active,2003,1998-2003 (as Treachery)| 2003-present
35405,Zerokarma,Russia,Active,1997,1997-1999 (as Doom)| 1999-present
35406,Zerstörer,Germany,Split-up,1989,1989-1998
35407,Ziggurat,Turkey,Active,1994,1994-present
35408,Zilla,Brazil,Active,2002,2002-present
35409,Zimmers Hole,Canada,Active,1991,1991-present
35410,Zindan,Uzbekistan,Active,N/A,N/A
35411,Zircon,United States,Split-up,1997,1997-?
35412,Zodiah,Serbia,Active,2006,2006-present
35413,Zodiaque,Japan,Active,N/A,N/A
35414,Zodiark,United Kingdom,Active,2008,2008-present
35415,Zombie Bitchslaughter,Sweden,Active,N/A,N/A
35416,Zombie Blasphemy,Japan,Unknown,N/A,N/A
35417,Zombie Virus Infection,International,Split-up,2007,2007-2009
35418,Zombiemoles,Slovakia,Active,2006,2006-present
35419,Zontox,Australia,Active,N/A,N/A
