id,name,country,status,formed_in,active
1,('M') Inc.,United States,Unknown,2009,2009-?
2,(sic),United States,Split-up,1993,1993-1996
3,.F.O.A.D.,France,Active,2009,2009-present
4,100 Suns,United States,Active,2004,2004-present
5,12 Days of Anarchy,United States,Split-up,1998,1998-2002
6,13th Cadaver,United States,Changed name,2006,2006-?| ?-2007 (as Splatter the Cadaver)| 2008 (as Splatter the Cadaver)
7,1917,Argentina,Active,1994,1994-present
8,5th Column,United States,Active,2003,2003-present
9,6 Feet Under,Germany,Split-up,N/A,N/A
10,602,Russia,Active,2012,2012-present
11,7th Delirium,Spain,Split-up,1998,1998-?
12,7th Gate,Austria,Split-up,N/A,N/A
13,9,Argentina,Active,2008,2008-present
14,9th Plague,Sweden,Split-up,2000,2000-2008
15,A Dark Place,Australia,Unknown,2009,2009-?
16,A Dying Season,Mexico,Active,2010,2010-present
17,A Greed Science,Australia,Active,2009,2009-present
18,A Life Less Alive,United States,Active,1997,1997-present
19,A Place for Murder,Italy,Active,2009,2009-2012| 2013-present
20,A Tomba Oberta,Spain,Active,2013,2013-present
21,A-Rise,Germany,Changed name,1999,1999-2013| 2013-present (as Sic Zone)
22,A.R.M.A.,Italy,Unknown,2008,2002-2008 (as Void Essence)| 2008-?
23,AAAAARGH! Bloody 2-Handed Chainaxe Blow,France,Unknown,1999,1999-?
24,Ab-Irato,Argentina,Active,N/A,N/A
25,Abaddon,Australia,Split-up,2006,2006-2008
26,Abaddon,Brazil,Split-up,2003,2003-2004| 2004 (as Ritus Tenebrum)
27,Abaddon,Bulgaria,Active,1999,1999-present
28,Abaddon,Chile,Active,1989,1989 (as Tormentor)| 1989-present
29,Abaddon,Czech Republic,Split-up,1989,1989-1994
30,Abaddon,Czech Republic,Active,2007,2007-present
31,Abaddon,Poland,Changed name,1992,1992-1994| 1994-present (as Sepsis)
32,Abaddon,United States,Split-up,N/A,N/A
33,Abadon,Colombia,Split-up,N/A,N/A
34,Abandoned,Germany,Split-up,1994,1994-?
35,Abantesma,Brazil,Split-up,2000,2000-?
36,Abattoir,Denmark,Split-up,1991,1991-?
37,Abattoir,Singapore,Changed name,1997,1997-1999| 1999-present (as Abattory)
38,Abattoir,Slovenia,Unknown,1999,1999-?
39,Abattoir Pigs,United Kingdom,Split-up,2004,2004-?
40,Abbatoir,Brazil,Changed name,2003,2003-2007| 2007-2010 (as S.O:M.A)
41,Abbattoir,United Kingdom,Changed name,1997,1997-?| ?-? (as Devoured)
42,Abbysmal,Bolivia,Active,2012,2012-present
43,Abdicated,Brazil,Active,2009,2009-present
44,Abdominal,Colombia,Split-up,1995,1995-2003
45,Abducción,Colombia,Active,2011,2011-present
46,Abducted,Hungary,Split-up,N/A,N/A
47,Abemal,Sweden,Split-up,1989,1989-1994
48,Aberrante,Panama,Active,2012,2012-present
49,Aberration,Poland,Changed name,1992,1992-?| ?-present (as Hope Industry)
50,Abgabba,United States,Active,2007,2007-present
51,Abhira,Indonesia,Active,2013,2009-2013 (as Gemeinschaft by Blood)| 2013-present
52,Abhor,Brazil,Split-up,1991,1991-1993
53,Abhordium,Finland,Active,2005,2005-present
54,Abhorrance,United States,Split-up,1990,1990-?
55,Abhorred,United Arab Emirates,Unknown,1999,1999-?
56,Abhorrence,Finland,Unknown,1989,1989-1990| 2012-?
57,Abhorrence,Germany,Split-up,N/A,N/A
58,Abhorrence,South Africa,Split-up,1992,1992-1994
59,Abhorrence,United States,Split-up,1989,1989-?
60,Abhorrent Aggression,United States,Split-up,2012,2012-2015
61,Abhorrent Decimation,United Kingdom,Active,2013,2013-present
62,Abhorrent Life,Germany,Split-up,2000,? (as Morimentum)| 2000-?
63,Abhorrer,Brazil,Split-up,2001,2001-?
64,Abhoth,Sweden,Split-up,1989,1988-1989 (as Morbid Salvation Army)| 1989-1999| 1999 (as Chimera)
65,Abiosis,United Kingdom,Split-up,1990,1990| 1990-?
66,Abiosis,United States,Split-up,1991,1991-1994
67,Abiura,Italy,Split-up,1999,1999-2000 (as Devoured by Vermin)| 2000-?
68,Abjekt,France,Changed name,2011,2011-2013| 2013-present (as Pestkhlyst)
69,Abjury,Canada,Split-up,2007,2003-2007 (as Moonless Equinox)| 2007-?
70,Ablation,Canada,Split-up,1991,1991-?
71,Ablepsia,Colombia,Active,1996,1996-2000| 2007-present
72,Abnorm,France,Split-up,2005,2005-?
73,Abnorma,Italy,Unknown,2004,2004-?
74,Abnormal,Norway,Active,2000,2000-present
75,Abnormity,Italy,Split-up,N/A,N/A
76,Abnormity,Sweden,Split-up,1990,1990-1992
77,Abolisher,United States,Active,1994,1994-present
78,Abolishment of Hate,Canada,Active,N/A,N/A
79,Abolition,Germany,Split-up,2003,2003-?
80,Abominal Mortus,Mexico,Active,2004,2004-present
81,Abominat,Norway,On hold,2002,2002-?
82,Abominatio,Chile,Active,2014,2014-2015 (as Legion)
83,Abomination,Finland,Changed name,2005,2005-2007| 2007-? (as Self-Murder Climax)| ?-present (as Shapeless Head)
84,Abomination,Panama,Split-up,1994,1994 (as Psicosis)| 1995-?
85,Abominations,Germany,Active,2016,2016-present
86,Abominator,United States,Split-up,N/A,N/A
87,Abominattion,Brazil,Split-up,1998,1994-1998 (as Anesthesia)| 1998-?
88,Abominio,Brazil,Active,N/A,N/A
89,Abominog,United States,Split-up,1987,1987-1988 (as Usurper)| 1988-1997
90,Abominor,Mexico,Unknown,2001,2001-?
91,Abominus,United States,Split-up,1994,1994-1997| 1997-1999 (as Pressure Point)| 2004-?
92,Abonation,Indonesia,Active,2009,2009-present
93,Aborted,Belgium,Active,1995,1995-present
94,Aborted Existence,United States,Active,2002,2002-present
95,Aborticide,Poland,Split-up,2000,2000-?
96,Abortification,Finland,Split-up,2007,2007-?
97,Abortion Holocaust,Philippines,Active,2009,2009-present
98,Abortus,Australia,Changed name,1998,1998-2004| 2004-present (as Herratik)
99,Abortus,United States,Split-up,1993,1993-?
100,Abramelin,Australia,Split-up,1994,1988-1994 (as Acheron)| 1994-2002
101,Abrasion,Australia,Active,1996,1996-present
102,Abraxas,United States,Split-up,2009,2009-2012
103,Abrupt Demise,Netherlands,Active,2010,2010-present
104,Abscess,Brazil,Split-up,1991,1991-1996| 2003 (as Kemöth)| 2003-?
105,Abscess,Netherlands,Split-up,1989,1989-?
106,Abscess Plague,Sweden,Split-up,2004,2004-?
107,Abscession,Sweden,Active,2009,2009-present
108,Abscission,United States,Active,2008,2008-present
109,Absconder,United States,Active,2009,2009-present
110,Absemia,Argentina,Split-up,1994,1994-?
111,Absence,Brazil,Unknown,2002,2002-?
112,Absent,Poland,Active,2001,2001-present
113,Absentation,Syria,Active,2003,2003-present
114,Absession,Mexico,Changed name,1989,1989-1990| 1990-? (as Bloodsoaked)
115,Absinth,Sweden,Split-up,N/A,N/A
116,Absinthium,Germany,Split-up,1994,1994-1996
117,Absinthius,Australia,Active,2016,2016-present
118,Absolute Zero,United States,Split-up,N/A,N/A
119,Absolution,United Kingdom,Active,1991,1991-1994| 2012-present
120,Absonant Cadence,Canada,Split-up,1993,1993-?
121,Absorb,Germany,Active,1989,1989-1994| 2007-present
122,Absorbcia,Ukraine,Split-up,2002,2002-2003
123,Absorbed,Germany,Split-up,1992,1992-1994
124,Absorbed,Netherlands,Split-up,1997,1997-2003
125,Absorbing Silence,Poland,Active,2007,2007-present
126,Absorde,United States,Split-up,2003,2003-?
127,Absorption,Sweden,Split-up,1990,1990
128,Abstract Butchery,Hungary,Split-up,N/A,N/A
129,Abstract Dementia,France,Split-up,N/A,N/A
130,Absurd,Sweden,Split-up,1989,1989-1994
131,Absurd Conception,Italy,Split-up,1988,1988-?
132,Absurd Universe,Netherlands,Split-up,2010,2010-?
133,Absurdium,Brazil,Active,2000,2000-2005| 2015-present
134,Absynt,Poland,Split-up,1997,1997-2003
135,Absynthium,Belgium,Split-up,1996,1996-?
136,Abszess,Germany,Split-up,1993,1993-?
137,Abuse Ritual,Australia,Split-up,2001,2001-?
138,Abuso,Argentina,Active,2006,2006-present
139,Abysal,Poland,Split-up,1998,1998-?
140,Abysm,International,Active,N/A,N/A
141,Abysmal Dawn,United States,Active,2003,2003-present
142,Abysmal Hatred,Germany,Split-up,1998,1998-?
143,Abysme,United States,Active,2006,2006-present
144,Abyss,Japan,Split-up,1991,1991-?
145,Abyss Inferno,Japan,Active,2010,2010-present
146,Abyss Lord,Germany,Changed name,1997,1997-2007| 2007-present (as Day of the Tentacle)
147,Abyss of Darkness,Brazil,Split-up,2001,2001-2006
148,Abyss of Perdition,Mexico,Active,N/A,N/A
149,Abyssal,France,Active,N/A,N/A
150,Abyssal Ascendant,France,Active,2012,2012-present
151,Abyssal Flames,Italy,On hold,2011,2011-2015
152,Abyssal Throne,Canada,Split-up,2009,2009-2012
153,Abyssals,France,Split-up,1993,1993-?
154,Abyssous,Germany,Active,2011,2011-present
155,Abyssthrone,Germany,Active,N/A,N/A
156,Abyssus,Greece,Active,2011,2011-present
157,Abythic,Germany,Active,2015,2015-present
158,Abyz,Germany,Split-up,1990,? (as Eradicated)| ? (as Rotten Corps)| ? (as Necrophiliac)| 1990-1991
159,Acatalepsy,United Kingdom,Active,2007,2007-present
160,Accursed Creation,Canada,Active,2009,2009-present
161,Accursed Spawn,Canada,Active,2010,2010-present
162,Acefalia,Brazil,Active,2006,2006-present
163,Aceldama,United States,Split-up,N/A,N/A
164,Aceldama,United States,Split-up,1990,1990-?
165,Aceldama,United States,Split-up,1990,? (as Ascalanax)| 1990-?
166,Acerbus,United States,Split-up,1999,1999-2003
167,Acheron,Australia,Changed name,1988,1988-1994| 1994-2002 (as Abramelin)
168,Acoasma,Slovakia,Split-up,1994,1994-?
169,Acoustic Torment,Germany,Unknown,1999,1999-?
170,Acrament,Chile,Split-up,N/A,N/A
171,Acrid,United States,Active,2008,2008-present
172,Acriminous,United States,Split-up,1994,1994-?
173,Acrimonium,United States,Split-up,1992,1992-?
174,Acrimony,United States,Active,2006,2006-present
175,Acrobystia,Czech Republic,Active,2004,2004-present
176,Across,Brazil,Active,1999,1999-present
177,Across the Swarm,Italy,Active,2002,2002-2004 (as Lacerated)| 2004-2013 (as Lacerater)| 2013-present
178,Acrossanity,Turkey,Active,2006,2006-present
179,Acrostic,Mexico,Split-up,1991,1991-1994
180,Acrostichon,Netherlands,Active,1989,1989-1995| 2009-present
181,Act of Gods,France,Unknown,2001,2001-?
182,Act of Grotesque,Bulgaria,Active,2001,2001-present
183,Acts of Sorrow,United Kingdom,Split-up,2008,2008-2011
184,Acéldama,Costa Rica,Active,2005,2005-present
185,Acétone,France,Split-up,2004,2004-2009
186,Ad Infinitum,United States,Split-up,N/A,N/A
187,Ad Mortem Eternam,France,Active,2009,2009-present
188,Ad Nauseum,France,Active,N/A,N/A
189,Ad Noctum,Australia,Split-up,1999,1999-?
190,Ad Patres,France,Active,2008,2008-present
191,Ad This to Your Mind,Sweden,Unknown,2005,2005-?
192,Adapt,Germany,Split-up,N/A,N/A
193,Adaptor,Indonesia,Active,1991,1991-2001| 2010-present
194,Adastrae,France,Active,2010,2010-present
195,Addicted,France,Unknown,2003,2003-?
196,Addiction,Germany,Active,2009,2009 (as Sudden Deafness)| 2009-present
197,Adetar,Netherlands,Split-up,1990,1990-?
198,Admortem,France,Split-up,1997,1997-?
199,Adnauseam,United States,Split-up,N/A,?-1995
200,Adnihil,Czech Republic,Active,2009,2009-present
201,Adornment,Finland,Split-up,1994,1994-?
202,Adramelech,Finland,On hold,1991,1991-present
203,Adversary,Sweden,Split-up,1990,1990-1993
204,Adversary,United States,Split-up,1989,1989-?
205,Adversary of Existence,United States,Split-up,2001,2001-?
206,Aeon,Sweden,Active,1999,1999-present
207,Aeon of Disease,Germany,Active,2015,2015-present
208,Aeons of Eclipse,United States,Split-up,2004,2004-2012
209,Aestees,Indonesia,Active,2010,2010 (as Another Sword to Slain)| 2010-2013| 2014-present
210,Aeternus,Poland,Split-up,1991,1989-1991 (as Widmo)| 1991-1992
211,Aeternus Prophet,Ukraine,Active,2010,2010-present
212,Aeturnus,United States,Split-up,1995,1995-?
213,Aeturnus Dominion,Australia,Active,2003,2003-present
214,Affecti Veternus,Sweden,Split-up,2007,2007-2009
215,Affliction,Denmark,Split-up,1992,1992-?
216,Affliction Gate,France,Active,2006,2006-present
217,After All Over,Indonesia,Active,2005,2005-present
218,After Death,United States,Active,2000,1999-2000 (as Nocturnus AD)| 2000-present
219,After the Abduction,United Kingdom,Active,2015,2015-present
220,After the Fallout,United States,Active,2010,2010-present
221,Afterbirth,United States,Split-up,1989,1989-?
222,Afterburner,Russia,Active,2009,2009-present
223,Afterdeath,Brazil,Split-up,1992,1992-?
224,Afterlife,Ireland,Split-up,1991,1991-?
225,Afterlife,United States,Split-up,1990,1990-?
226,Afterlife?,Sweden,Split-up,1991,1991-?
227,Aftermath,Australia,Split-up,1991,1991-1996| 2003-2006
228,Agalariept,Chile,Active,N/A,N/A
229,Agamas,United States,Split-up,1991,1991-1993
230,Age of Aggression,Germany,Active,2002,2002-present
231,Age of Agony,Hungary,Active,2002,1995-2002 (as Silent Agony)| 2002-present
232,Age of Devastation,Germany,Active,2007,2007-present
233,Age of Pain,Italy,Split-up,1998,1998-?
234,Age of Rage,United States,On hold,1992,1992-?
235,Age of War,Mexico,Split-up,2006,2006-2011
236,Aggregate Pain,Turkey,Split-up,2008,2008-?
237,Aggression,Russia,Changed name,1989,1989-1995| 1995-present (as MysticalGate)
238,Aggressive Intent,United States,Split-up,N/A,N/A
239,Aggressive Measures,United States,Changed name,2005,2005-2009| 2009-present (as Decimated Existence)
240,Aggressor,Poland,Active,1988,1988-?| 2004-present
241,Aggrevated,Australia,Split-up,2006,2006-?
242,Aghast,United States,On hold,2004,2004-?
243,Aglareth,Mexico,Split-up,1994,1994-?
244,Agnosia,United States,Split-up,1990,? (as Matricide)| 1990-?
245,Agnostic,India,Active,2009,2009-2015| 2016-present
246,Agon,France,Active,2002,2002-2011| 2014-present
247,Agone,France,Split-up,1993,1993-?
248,Agonised,Spain,Active,2009,2009-present
249,Agonize,Peru,Active,1997,1997-present
250,Agonize Death,Brazil,Split-up,1993,1993-?
251,Agonized,Finland,Split-up,1990,1990-1991
252,Agonized,Portugal,Unknown,2001,2001-?
253,Agonizer,Italy,Split-up,N/A,N/A
254,Agony,Czech Republic,Split-up,1995,1995-2011
255,Agony Conscience,Czech Republic,Split-up,1993,1993-?
256,Agony Divine,United States,Active,2001,2001-2005| 2011-present
257,Agony Lords,Mexico,Active,1993,1989-1993 (as Ripping Flesh)| 1993-1999| 2008-present
258,Agony Spawn,Canada,Active,2010,2010-present
259,Agoraphobia,Germany,Changed name,1989,1989-1991| 2005-2010| 2010-present (as New Born Hate)
260,Agoraphobia,Germany,Split-up,N/A,N/A
261,Agression,Chile,Active,2004,2004-present
262,Agressor,Argentina,Unknown,N/A,N/A
263,Agressor,Colombia,Active,1986,1986-present
264,Agressor,Hungary,Split-up,N/A,N/A
265,Agretator,Sweden,Split-up,1992,1990-1992 (as Demise)| 1992-1998
266,Agroth,Sweden,Split-up,N/A,N/A
267,Ahmasiah,France,Active,1996,1996-present
268,Ahnnias,France,Unknown,2006,2006-?
269,Ahrimah,Poland,Split-up,1992,1992-1995
270,Ahriman,Brazil,Active,2004,2004-present
271,Ahura,France,Active,2005,2005-present
272,Aigéad,Ireland,Active,N/A,N/A
273,Aimoptysi,Greece,Split-up,1995,1995-?
274,Aiwaz,Italy,Split-up,1994,1994-?
275,Ajatus,Sweden,Active,2010,2010-present
276,Akagrish,Malaysia,Active,N/A,N/A
277,Akanatomb,Colombia,Split-up,2005,2005-?
278,Akbal,Chile,Active,1997,1997-present
279,Akeldama,United States,Split-up,2000,2000-?
280,Akeldama,United States,Split-up,2003,2003-?
281,Akryal,United States,Split-up,2001,2001-2002
282,Aktarma Suicide,Philippines,Active,2004,2004-present
283,Akuma,Australia,Active,2003,2003-present
284,Alabaster Morgue,United States,Active,2003,2003-present
285,Alamogordo,Czech Republic,Active,2002,2002-present
286,Alarma,Finland,Active,N/A,N/A
287,Alastor,Chile,Active,2006,2006-present
288,Alcantagram,Morocco,Active,2006,2006-present
289,Alchera,Germany,Active,1996,1996-present
290,Alcoholica,Poland,Changed name,1999,1999-2002| 2002-2006 (as Grave of Shadows)| 2006-? (as Decimated)
291,Alesthor,Portugal,Split-up,1993,1993-?
292,Alfa,Brazil,Split-up,N/A,N/A
293,Alhazred,United States,Changed name,2011,2011-2012| 2012-present (as Existentium)
294,Alive Dissection,France,Active,2009,2009-present
295,All American Organ Grinder,United States,Active,2010,2010-present
296,All Creation Wept,United States,Unknown,N/A,N/A
297,All Falls Down,Austria,Active,2006,2006-present
298,All in Vain,Italy,Split-up,1997,1997-2004
299,All Shall Die,United States,Split-up,2007,2007-?
300,All That Is Evil,United States,Split-up,1997,1997-?
301,All Will Fall,United States,Unknown,N/A,N/A
302,Allienatyon,Brazil,Active,2002,2002-present
303,Allusion,Mexico,Split-up,1993,1993-?
304,Allzheimer,Brazil,Split-up,1995,1995-?
305,Alma Persona,Slovakia,Active,2009,2009-present
306,Almagor,Venezuela,Active,2007,2007-present
307,Almost Human,Germany,Active,2002,2002-present
308,Almost Human,Taiwan,Active,1997,1997-2002| 2003-2004| 2006-present
309,Altar,Netherlands,Active,1990,1990-2001| 2002-2007| 2014-present
310,Altar,Sweden,Split-up,1990,1988-1990 (as Wortox)| 1990-1995
311,Altar of Flesh,United States,Active,1999,1999-present
312,Altar of Giallo,Spain,Active,2006,2006-present
313,Altar of Pain,Portugal,Split-up,2010,2010-2013
314,Altar of Sacrifice,Sweden,On hold,2004,2004-?
315,Altar Stomper,Finland,Unknown,N/A,N/A
316,Altars,Australia,Split-up,2005,2005-2016
317,Altars of Suffering,United States,Active,2010,2010-present
318,Alter Christus,Canada,Split-up,1998,? (as Elvix)| 1998-?
319,Altercated,Poland,Active,2003,2003-2012| 2015-present
320,Altered,Argentina,Split-up,1991,1991 (as Agressor)| 1991-1998
321,Altered Dead,Canada,Active,2013,2013-present
322,Altered Existence,United States,Active,1991,1991-present
323,Alterity,Argentina,Active,N/A,N/A
324,Amachine,New Zealand,Active,2009,2009-present
325,Amaduscias,Brazil,Active,2001,2001-present
326,Amaranhig,Philippines,Active,2012,2012-present
327,Amaymon,France,Split-up,1992,1989-1992 (as Deadly Dislocated)| 1992-?
328,Ambiguous,Switzerland,Unknown,N/A,N/A
329,Ambivalence,Ukraine,Active,2001,2001-present
330,Amboss,Germany,Split-up,N/A,N/A
331,Ambrossia,Switzerland,Split-up,1994,1994-2006
332,Ambush,Serbia,Active,2001,2001-present
333,Amelus,Australia,Active,2013,2013-present
334,Amenophis,Sweden,Split-up,1988,1988-1993
335,Amenophis,United Kingdom,Split-up,N/A,N/A
336,Amenthes,United States,Active,2013,2013-present
337,Amenthis,Brazil,Split-up,1993,1993-?
338,Amentia,Germany,Split-up,N/A,N/A
339,Amenty,Russia,Split-up,2006,2006-?
340,Amerced,United States,Active,1994,1994-present
341,Amid Pain,United States,Split-up,1997,1997-?
342,Ammonium,Russia,Active,2011,2011-present
343,Amok,Czech Republic,Active,1999,1999-present
344,Amon,Poland,Split-up,N/A,N/A
345,Amon,United States,Active,1987,1987-1989| 1989-present (as Deicide)| 2007-present
346,Among Disaster,Venezuela,Active,2011,2011-present
347,Among Gods,Norway,Active,2010,2010-present
348,Amor e Morte,United Kingdom,Unknown,2004,2004-?
349,Amorbital,Slovakia,Split-up,1993,1993-2000
350,Amordeum,United States,Unknown,1999,1999-?
351,Amorite,Hungary,Active,2014,2014-present
352,Amorph,Germany,Split-up,N/A,N/A
353,Amorphous Mass,United Kingdom,Split-up,N/A,N/A
354,Ampulex Dementor,Sweden,Active,2015,2015-present
355,Amputate,Portugal,Active,2011,2011-present
356,Amputation,Netherlands,Changed name,2007,2007| 2007-2010 (as Brutal Assault)
357,Amputation,Norway,Split-up,1988,1988-1990
358,Amputation,Russia,Split-up,1990,1990-?
359,Amputation,United States,Split-up,N/A,N/A
360,Amputator,Russia,Split-up,1995,1995-?
361,Amputory,Finland,Active,2009,2009-present
362,Amüza,Japan,Active,2002,2002-present
363,Anacatarsis,Mexico,Active,2004,2004-present
364,Anaiash,Poland,Split-up,1992,1992 (as Bhaphomertus)| 1992-?
365,Anal Exorcism,United States,Active,2014,2014-present
366,Anal Fister,Austria,Active,N/A,N/A
367,Anal Stench,Poland,Split-up,2001,2001-2006| 2012
368,Anally Raped by Satan,United States,Unknown,2000,2000-?
369,Analogy,United States,Split-up,N/A,N/A
370,Anaphilaxy,France,Split-up,N/A,N/A
371,Anaphora,Austria,Split-up,N/A,N/A
372,Anarchos,Netherlands,Active,2010,2010-present
373,Anarchus,Switzerland,Split-up,1988,1988-?
374,Anarco Terror,Italy,Active,2013,2013-present
375,Anasarca,Germany,Active,1995,1995-present
376,Anatema,Spain,Split-up,1991,1991-?
377,Anathema,Finland,Split-up,1989,1989 (as Funeration)| 1989-1991
378,Anathemized,Poland,Changed name,1992,? (as Suffocation)| 1992-1996| 2011-2013| 2013-present (as Wardust)
379,Anatomical Plastination,Mexico,Active,2015,2015-present
380,Anatomy,United States,Split-up,2004,2004-?
381,Anatomy of I,Netherlands,Active,N/A,N/A
382,Anax,Brazil,Unknown,2000,2000-?
383,Ancestor,Brazil,Active,1996,1996-present
384,Ancestor,United States,Active,1997,1997-present
385,Ancestral,Canada,Active,1990,1990-present
386,Ancestral,Chile,Active,2000,2000-present
387,Ancestral Legion,Colombia,Split-up,2006,2006-?
388,Ancestral Malediction,Brazil,Active,1994,1994-present
389,Ancient Ascendant,United Kingdom,Active,2005,2003-2005 (as Heretic)| 2005-present
390,Ancient at Birth,United States,Split-up,2005,2005-2013
391,Ancient Balls,Greece,Unknown,2009,2009-?
392,Ancient Crypts,Chile,Active,2012,2012-present
393,Ancient Decay,United States,On hold,2011,2011-present
394,Ancient Existence,Germany,Split-up,2000,2000-2010
395,Ancient Gods,United States,Active,1998,1998-present
396,Ancient Misery,Finland,Split-up,2000,2000-2002
397,And All Was Lost,United States,Active,N/A,N/A
398,Andeathion,United States,Split-up,2000,2000-2006
399,Anemia,Indonesia,Active,2008,2008-present
400,Anencephalic,United Kingdom,Active,N/A,N/A
401,Anencephalus,Germany,Split-up,1994,1994-2004
402,Anesthesia,Brazil,Changed name,1994,1994-1998| 1998-present (as Abominattion)
403,Aneurysm,United States,Split-up,1994,1994-?
404,Anfall Norr,France,Split-up,2008,2008-2013
405,Angel Accelerator Death,Denmark,Split-up,N/A,N/A
406,Angel Death,Italy,Split-up,1984,1984-1993
407,Angel Guts,United States,Active,2005,?-2005 (as Reverted)| 2005-present
408,Angel Negro,Colombia,Split-up,1991,1991-?
409,Angel's Decay,Slovakia,Active,1998,1998-present
410,Angeldeath,United States,Active,2001,?-? (as Black Omen)| 2001-2004| 2009-present
411,Angelic Damnation,United Kingdom,Split-up,1998,1998 (as Just Another Victim)| 1998-2001| 2007-?
412,Angelic Rebellion,Philippines,Split-up,2006,2006-2010
413,Angelus Infernus,United States,Split-up,2004,2004-?
414,Anger,Canada,Active,2014,2014-present
415,Anger,Poland,Split-up,1997,1997-?
416,Angerise,Brazil,Unknown,2004,2004-?
417,Angerpath,Poland,Unknown,2007,2007-?
418,Angerseed,Hungary,Active,2007,2007-present
419,Angerstorm,Chile,Split-up,2000,2000-?
420,Angist,Iceland,Active,2009,2009-present
421,Angoixa,Spain,Active,2014,2014-present
422,Angrist,Greece,Split-up,N/A,N/A
423,Anguish,Finland,Split-up,1989,1989-?
424,Anguish,United States,Active,N/A,N/A
425,Anhoxia,Chile,Split-up,2000,2000-2006
426,Anima Inmortalis,Chile,Active,2001,2001-present
427,Anima Vilis,Poland,Split-up,1991,1991-1992 (as Zwiastun)| 1992-?
428,Animalator,Greece,Active,1995,1995-?| 2008-present
429,Animals Grace,Germany,Split-up,1991,1991-?
430,Animas,Spain,Split-up,1994,1994-2001
431,Animate Death,Poland,Split-up,2002,2002-?
432,Anime Torment,Czech Republic,Active,2007,2007-present
433,Animhate,Italy,Active,2011,2011-present
434,Animistic Evil,United States,Unknown,N/A,N/A
435,Animosity,Germany,Split-up,1999,1999-?
436,Animosity,Hungary,Split-up,N/A,N/A
437,Ankle Deep in Blood,Australia,Split-up,2004,2004-?
438,Annaesseker,Indonesia,Active,2009,2009-present
439,Annihilate,Peru,Active,2006,2006-present
440,Annihilation,Denmark,On hold,2005,2005-?
441,Annihilation Text,Canada,Split-up,2005,2005-?
442,Annoyance,United Kingdom,Split-up,1990,1990-?
443,Annunciation,United Kingdom,Active,2011,2011-present
444,Anomaly,Lithuania,Active,1993,1993-present
445,Anomaly,United States,Active,2011,2011-present
446,Anopheles,Brazil,Split-up,N/A,N/A
447,Anorexia,France,Split-up,1995,1995-?
448,Anorkia,Brazil,Split-up,1990,1990-?
449,Another World,Germany,Split-up,1994,1994-2000
450,Anoxide,United Kingdom,Active,2012,2011-2012 (as War Machine)| 2012-present
451,Anphisbenah,Brazil,Unknown,1996,1996-?
452,Antagonism,Italy,Active,2005,2005-present
453,Antagonized,Panama,Active,2006,2006-present
454,Antarctica,Norway,Split-up,1999,1999-2005
455,Antarctica,United States,Active,2009,2007-2009 (as Dine upon the Flesh)| 2009-present
456,Antares,Poland,Changed name,1997,1997-2000| 2000-present (as Bloodpaint)
457,Antarktis Utopia,Finland,Split-up,1997,1997-2009
458,Ante Mortem,Germany,Split-up,1992,1992 (as Necrophiliac)| 1992-1993
459,Anthagonist,Canada,Split-up,1987,1987-?
460,Antharia,Bolivia,Split-up,N/A,?-2004
461,Anthem,Poland,Active,2005,2005-present
462,Anthracite,Germany,Active,2004,2004-present
463,Anthrocite,United Kingdom,Split-up,2006,2006-?
464,Anthrophagus,Belgium,Active,2007,2007-present
465,Anthropinism,Chile,Split-up,1990,1990-?
466,Anthropophagical Warfare,Brazil,Split-up,2001,2001-?
467,Anthropophagus,Canada,Split-up,N/A,N/A
468,Anthrovore,United States,Active,2006,2006-present
469,Anticipation,Germany,Split-up,2001,2001-?
470,Anticristo,Mexico,Split-up,1988,1988-?
471,Antipathy,United States,Active,N/A,N/A
472,Antiquarium,Mexico,Split-up,N/A,N/A
473,Antisemitex,Poland,Active,1997,1997-present
474,Antisma,United States,Split-up,1991,1991-?
475,Antisocial,Thailand,Split-up,1998,1998-?
476,AntiVoid,Portugal,Active,2012,2005-2012 (as The Endgate)| 2012-present
477,Anton,Mexico,Active,1994,1994-present
478,Antrochaotic,Brazil,Active,2002,2002-present
479,Antrodemus,Indonesia,Active,2007,2007-present
480,Antropomorfia,Spain,Split-up,1989,1989-?
481,Antropomorphia,Netherlands,Active,1989,1989-1990 (as Dethroned Empire)| 1990-1999| 2009-present
482,Antrum,Argentina,Active,2015,2015-present
483,Antrum,Poland,Split-up,1993,1993-?
484,Anubis,Sweden,Active,2006,2006-present
485,Anxiety,Switzerland,Active,1995,1995-present
486,Aparathus,Germany,Active,2006,2006-present
487,Apathy,United Kingdom,Split-up,1992,1992-?
488,Apeiron,Colombia,Changed name,1999,1999-2002| 2002-2005 (as Cysted)
489,Apex,United States,Split-up,N/A,N/A
490,Aphelion,France,Split-up,2004,2004-?
491,Aphelion,Germany,Split-up,2000,2000-?
492,Aphob,France,Split-up,1994,1994-?
493,Aphoristic Style,Germany,Split-up,1993,1993-1996
494,Aphotic,United States,Active,2016,2011-2016 (as Betray the Prophet)| 2016-present
495,Aphyxion,Denmark,Active,2006,2006-present
496,Apnea,United States,Active,1999,1999-present
497,Apoc Death,United States,Split-up,1993,1993-1995| 1993-?
498,Apocalypse Warhead,Finland,Active,2001,2001-present
499,ApocalypseHead,United States,Active,2004,2004-present
500,Apocalypsis,Canada,Split-up,N/A,N/A
501,Apocalyptic,Poland,Split-up,1992,1992-?
