id,album,score
127,150,0.8
128,150,0.65
129,150,0.7
130,150,0.62
131,150,0.7
132,157,0.7
133,158,1.0
134,160,0.9
135,160,0.94
136,160,0.72
137,162,0.05
138,165,0.95
139,185,0.82
140,187,0.8
141,188,0.7
142,188,0.1
143,188,0.9
144,188,0.87
145,188,0.75
146,189,0.55
147,191,0.7
148,193,0.9
149,193,0.77
150,201,0.8
151,205,0.55
152,205,0.9
153,205,0.68
154,205,0.95
155,207,0.8
156,208,0.35
157,210,0.8
158,214,0.65
159,218,0.95
160,219,0.81
161,219,0.9
162,220,0.8
163,220,0.93
164,221,0.88
165,221,0.95
166,226,0.85
167,227,0.7
168,230,0.65
169,234,0.8
170,235,0.75
171,238,0.71
172,253,0.75
173,267,0.6
174,276,0.72
175,282,0.7
176,282,0.9
177,282,0.97
178,283,0.6
179,284,0.2
180,286,0.7
181,288,0.82
182,289,0.9
183,293,0.53
184,309,0.73
185,314,0.73
186,323,0.89
187,323,0.86
188,324,0.7
189,324,0.73
190,324,0.9
191,324,0.8
192,325,0.7
193,326,0.85
194,326,0.73
195,343,0.53
196,346,0.74
197,361,0.9
198,361,0.9
199,362,0.84
200,371,0.85
201,378,0.8
202,378,0.85
203,379,0.84
204,379,0.9
205,379,0.8
206,379,0.96
207,379,0.82
208,379,0.92
209,379,0.9
210,379,1.0
211,379,1.0
212,379,0.9
213,379,0.93
214,379,0.89
215,379,0.84
216,379,0.95
217,379,1.0
218,380,0.41
219,380,0.98
220,380,1.0
221,380,1.0
222,380,0.88
223,380,0.98
224,380,1.0
225,380,0.94
226,380,0.99
227,380,0.81
228,380,1.0
229,380,0.83
230,380,1.0
231,380,0.9
232,380,0.93
233,381,0.75
234,381,0.75
235,381,0.78
236,381,1.0
237,381,0.82
238,382,0.9
239,382,0.93
240,382,0.4
241,382,0.68
242,382,0.5
243,382,0.76
244,383,0.9
245,383,0.82
246,383,0.82
247,383,0.87
248,383,0.8
249,383,0.8
250,383,0.8
251,383,0.8
252,383,0.91
253,383,0.7
254,383,0.75
255,383,0.85
256,384,0.85
257,384,0.32
258,384,0.7
259,384,0.65
260,384,0.88
261,384,0.78
262,384,0.75
263,384,0.2
264,384,0.9
265,385,0.75
266,385,0.73
267,385,0.83
268,385,0.7
269,385,0.7
270,387,0.5
271,390,0.8
272,390,0.89
273,390,0.91
274,391,0.9
275,392,0.6
276,392,0.76
277,392,0.99
278,392,0.87
279,393,0.96
280,394,0.86
281,394,0.77
282,395,0.78
283,395,0.9
284,401,0.91
285,401,0.64
286,401,0.9
287,402,0.85
288,402,0.86
289,404,0.3
290,414,0.85
291,414,0.82
292,414,0.83
293,416,0.9
294,417,0.75
295,417,0.88
296,418,0.9
297,419,0.84
298,419,0.9
299,419,0.9
300,419,0.85
301,419,0.88
302,419,1.0
303,419,0.8
304,419,0.72
305,426,0.8
306,428,0.85
307,429,0.9
308,429,1.0
309,429,0.8
310,429,0.85
311,429,1.0
312,430,0.85
313,430,0.85
314,430,0.65
315,430,0.78
316,438,0.69
317,442,0.71
318,451,0.6
319,458,0.78
320,458,0.8
321,458,0.83
322,459,0.87
323,459,0.85
324,459,0.9
325,459,0.85
326,460,0.98
327,460,0.89
328,460,0.82
329,460,0.87
330,461,0.7
331,461,0.65
332,461,0.95
333,462,0.85
334,462,0.95
335,463,0.75
336,463,0.52
337,463,0.85
338,464,0.84
339,464,0.82
340,464,0.85
341,464,0.6
342,464,0.4
343,481,0.95
344,481,0.87
345,482,0.72
346,483,0.88
347,486,0.7
348,486,0.75
349,486,0.95
350,486,0.8
351,501,0.6
352,503,0.9
353,509,0.65
354,513,0.72
355,514,0.85
356,514,0.75
357,514,0.72
358,514,0.9
359,515,0.7
360,516,0.8
361,517,0.95
362,524,0.6
363,540,0.97
364,540,0.93
365,541,0.68
366,541,0.73
367,542,0.8
368,542,0.57
369,543,0.83
370,547,0.96
371,552,0.8
372,552,0.84
373,553,0.88
374,553,0.64
375,553,0.8
376,554,0.83
377,555,0.65
378,555,1.0
379,555,0.85
380,555,0.86
381,555,0.8
382,555,0.74
383,555,0.98
384,555,0.8
385,556,0.8
386,556,0.87
387,556,0.5
388,556,0.9
389,556,0.3
390,557,0.7
391,557,0.96
392,558,0.7
393,558,0.75
394,559,0.0
395,559,0.97
396,559,0.9
397,560,0.74
398,561,0.8
399,561,0.74
